transit stop code,longitude,latitude,demand
cts120950039,-81.3099,28.34805,106.20674098763595
cts120950040,-81.4436,28.35643,25.446031413639048
cts120950041,-81.3843,28.36562,8.976632240343347
cts120950043,-81.3095,28.36824,16.583844670924417
cts120950044,-81.3174,28.38841,144.56477350796888
cts120950048,-81.2211,28.40416,63.044347195520835
cts120950049,-81.5327,28.40882,78.93718646775855
cts120950050,-81.2073,28.40952,67.91991517584867
cts120950051,-81.3437,28.41173,1.2891020938539417
cts120950054,-81.5033,28.4202,57.16769226600864
cts120950056,-81.6225,28.42131,259.81970108346644
cts120950060,-81.2564,28.42962,161.40014906744972
cts120950062,-81.2413,28.43145,44.3014641512665
cts120950063,-81.5039,28.43663,93.90998628013186
cts120950066,-81.2606,28.4429,61.330409347128075
cts120950067,-81.56,28.44433,136.08411592836114
cts120950068,-81.5537,28.44508,225.26028190422983
cts120950070,-81.563,28.45648,208.16572905977947
cts120950071,-81.786,28.45867,38.794491645467296
cts120950073,-81.5803,28.46033,201.18846098600366
cts120950074,-81.5646,28.46052,110.25960883983993
cts120950075,-81.6251,28.46183,45.024438997434586
cts120950076,-81.5557,28.46435,70.63606239672407
cts120950078,-81.4936,28.46769,32.97735924633905
cts120950079,-81.2686,28.46783,111.0637860657256
cts120950083,-81.6116,28.47713,33.947437735127
cts120950084,-81.2395,28.47757,59.589524279421525
cts120950086,-81.5378,28.48152,105.26260546354652
cts120950087,-81.2638,28.48389,76.68315130145315
cts120950088,-81.2546,28.49083,63.048136726679424
cts120950089,-81.2317,28.49088,44.1962962090108
cts120950091,-81.5085,28.49214,54.23651004306395
cts120950093,-81.6118,28.49337,59.841125953358365
cts120950095,-81.4935,28.49374,168.80517621308638
cts120950096,-81.4834,28.49517,119.76280067888064
cts120950098,-81.5553,28.50321,56.96844653516905
cts120950099,-81.2399,28.5046,126.20041596901837
cts120950100,-81.1609,28.50483,56.43542786786651
cts120950102,-81.6057,28.50743,25.64643967801078
cts120950103,-81.787,28.50799,123.91683668745361
cts120950104,-81.5102,28.50812,151.3617764156193
cts120950108,-81.702,28.51126,96.37079702400395
cts120950110,-81.6094,28.51366,71.11611342767787
cts120950112,-81.2212,28.51474,96.6146103654779
cts120950114,-81.5413,28.51734,118.85040839769633
cts120950115,-81.1879,28.51831,48.444297985139514
cts120950116,-81.4942,28.51887,34.90737472033403
cts120950120,-81.2399,28.52211,152.6693709214883
cts120950121,-81.4954,28.52285,43.30563825971385
cts120950122,-81.2524,28.52332,48.28520700819408
cts120950123,-81.5566,28.52409,30.553514029435327
cts120950124,-81.202,28.52525,103.407610665567
cts120950125,-81.6198,28.52531,13.876781628094342
cts120950127,-81.2121,28.52674,39.7717989155869
cts120950128,-81.5088,28.52774,101.14865549874791
cts120950131,-81.1506,28.53854,137.87648895690887
cts120950133,-81.2072,28.53984,30.298398549877156
cts120950134,-81.228,28.54025,134.60854343815845
cts120950135,-81.608,28.54051,96.20699060672617
cts120950136,-81.6525,28.54581,16.28720094323061
cts120950137,-81.1632,28.54839,96.91570597376078
cts120950138,-81.6368,28.54989,42.86028156229174
cts120950139,-81.6206,28.551,159.0557095279839
cts120950141,-81.534,28.57594,48.53799910961334
cts120950142,-81.1742,28.58056,276.01507969261206
cts120950143,-81.5795,28.58169,23.713914748812435
cts120950144,-81.5426,28.58808,254.72740793916944
cts120950145,-81.1168,28.58818,46.33807601200858
cts120950146,-81.5756,28.59044,45.265678946307766
cts120950148,-81.1785,28.59449,193.4158970218537
cts120950149,-81.1701,28.59677,327.39130729420856
cts120950151,-81.533,28.59937,372.9978811471825
cts120950152,-81.4968,28.59978,228.29060834827146
cts120950153,-81.5045,28.60499,96.035057962931
cts120950160,-81.5353,28.6217,165.50014934966867
cts120950162,-81.3414,28.62405,116.00969860877544
cts120950203,-81.4678,28.70349,90.17969769407287
cts120950205,-81.4761,28.70702,48.477157732099855
cts120950207,-81.4665,28.70952,180.12359210386384
cts120950213,-81.5232,28.72629,51.30395120779792
cts120950214,-81.5343,28.72813,3.232137904682274
cts120950216,-81.5503,28.7283,14.592778035930383
cts120970001,-81.2892,28.19009,90.41784157972137
cts120970002,-81.4704,28.19627,31.207623184084188
cts120970006,-81.2438,28.20497,71.11973965960912
cts120970007,-81.3053,28.21208,474.3328929608395
cts120970008,-81.2807,28.21644,75.04760114110692
cts120970009,-81.4666,28.21828,53.0559882733517
cts120970017,-81.4625,28.23921,41.29263843246873
cts120970018,-81.2263,28.2444,20.730842822102424
cts120970019,-81.4589,28.25684,113.25817428246684
cts120970020,-81.607,28.25971,34.57154304059989
cts120970024,-81.6419,28.27368,14.667854983881519
cts120970026,-81.4718,28.27864,78.56256620049982
cts120970027,-81.3751,28.28396,216.06014847636538
cts120970029,-81.5906,28.29343,7.436327117514123
cts120970032,-81.564,28.3087,27.85943198335518
cts120970033,-81.5906,28.31034,1.0806965069679848
cts120970034,-81.6109,28.31724,46.34314008183584
cts120970035,-81.6092,28.32189,66.75120704917374
cts120970038,-81.2895,28.33359,36.4087107944421
cts120970233,-81.2882,28.18045,32.929489266880715
cts121170155,-81.1792,28.61203,251.2954685485477
cts121170156,-81.2447,28.61231,420.38276331291695
cts121170164,-81.2661,28.62634,91.9179725209016
cts121170165,-81.2952,28.62666,140.08740991029873
cts121170166,-81.1747,28.62676,122.59410088022636
cts121170167,-81.2429,28.62859,136.8074056282049
cts121170168,-81.279,28.63335,87.22035524499309
cts121170170,-81.2899,28.63649,180.9638584567999
cts121170171,-81.4356,28.6406,240.4526366920498
cts121170173,-81.2664,28.64278,337.6841083204111
cts121170174,-81.1307,28.64494,41.414423378919885
cts121170175,-81.3019,28.64711,347.47960576843843
cts121170177,-81.2855,28.6474,224.17388780778282
cts121170179,-81.1435,28.64833,15.611363376785626
cts121170181,-81.1783,28.64971,177.71488770707023
cts121170182,-81.1594,28.65265,31.43510236061435
cts121170183,-81.2721,28.65308,56.19380322138158
cts121170184,-81.4438,28.65428,86.42239291240088
cts121170186,-81.2812,28.66219,297.88095440175357
cts121170187,-81.1839,28.66553,72.97341024714186
cts121170188,-81.177,28.66793,29.279510134763495
cts121170189,-81.2748,28.66882,107.75111760195554
cts121170190,-81.2931,28.67026,100.51043969577276
cts121170191,-81.3086,28.67219,259.4860151058035
cts121170192,-81.2683,28.67493,256.2273601151562
cts121170193,-81.3101,28.67547,372.02555593624936
cts121170195,-81.1773,28.68108,35.86789395739516
cts121170197,-81.4456,28.68689,113.1784809405594
cts121170198,-81.2087,28.68791,56.95884497777141
cts121170200,-81.4517,28.697,151.47221426221193
cts121170201,-81.4443,28.69954,108.66492327337724
cts121170202,-81.4191,28.70241,174.00635016900907
cts121170208,-81.3683,28.71286,88.0918946672563
cts121170209,-81.3624,28.71288,59.8832506264267
cts121170210,-81.3586,28.72293,29.362849284607478
cts121170211,-81.3846,28.72359,80.89534103568167
cts121170212,-81.3366,28.72587,13.897327174870352
cts121170217,-81.3422,28.73774,115.39182413063571
cts121170219,-81.2526,28.76034,145.88608556293875
cts121170222,-81.2645,28.76213,236.22778346663185
cts121170223,-81.2108,28.76706,4.262688208691646
cts121170224,-81.3808,28.77305,52.417221286444395
cts121170225,-81.328,28.78642,213.35996091781521
cts121170226,-81.3851,28.78716,21.444474025368443
cts121170227,-81.3164,28.78942,137.2413598121096
cts121170228,-81.363,28.8067,175.13877366678935
cts121170229,-81.3571,28.81119,222.714916169981
cts121170231,-81.3441,28.82718,200.36773951433358
cts121170232,-81.3234,28.83371,3.559709527272727
